LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
0805460	57.1	42.9	17.9	17.9	32.1	25.0	-1.0	15	29028	32905	36612	40927	-1	35889
0805490	57.8	42.2	27.7	18.1	32.5	14.5	7.2	13	32447	34878	40273	47425	51526	38977
0805520	87.5	-1.0	43.8	-1.0	31.3	-1.0	-1.0	11	29259	-1	34538	-1	-1	33739
0805550	57.7	42.3	48.9	26.5	15.1	7.4	2.2	8	36391	46156	57263	64385	64355	44797
0805580	73.3	26.7	20.0	-1.0	40.0	26.7	-1.0	15	27510	-1	31410	36660	-1	31986
0805610	70.0	30.0	13.3	20.0	26.7	26.7	13.3	18	34007	43681	49595	52989	53722	47789
0805640	65.0	35.0	15.0	-1.0	40.0	20.0	15.0	17	28978	-1	38826	41226	41078	38133
0805670	66.7	33.3	38.1	14.3	19.0	23.8	-1.0	13	30762	30458	37175	41438	-1	35171
0805700	58.3	33.3	-1.0	41.7	33.3	-1.0	0.0	12	-1	34933	36022	-1	-2	34962
0805730	51.5	47.8	23.9	10.4	32.8	27.6	5.2	15	33042	41664	47174	52403	51827	44910
0805760	39.7	60.3	20.5	17.9	33.3	17.9	10.3	15	30097	33195	37100	42753	49512	37250
0805790	55.5	43.9	28.8	13.5	30.7	23.2	3.8	13	32022	35971	42265	50198	49972	40593
0805820	45.2	53.9	32.2	22.0	25.2	16.8	3.8	12	33556	38189	44974	51037	62240	41476
0805850	61.5	38.5	23.1	-1.0	38.5	23.1	-1.0	15	26462	-1	34124	38454	-1	33567
0805880	82.4	17.6	23.5	17.6	29.4	23.5	-1.0	15	28364	31350	39057	41080	-1	35793
0805910	44.0	56.0	28.0	20.0	32.0	16.0	-1.0	13	31379	34474	39738	51459	-1	38722
0805940	92.9	-1.0	57.1	-1.0	-1.0	-1.0	-1.0	9	28291	-1	-1	-1	-1	30048
0805970	50.0	50.0	-1.0	21.4	42.9	21.4	-1.0	16	-1	35988	38806	46783	-1	40323
0806000	76.9	23.1	-1.0	38.5	30.8	-1.0	-1.0	13	-1	28090	31878	-1	-1	29942
